schoolname,latitude,longitude,address,city,zip,percentasian,percentblack,percenthispanic,percentblackhispanic,percentwhite
P.S. 204 MORRIS HEIGHTS,40.849995,-73.915226,"1780 DR M L KING JR BLVD BRONX, NY 10453",BRONX,10453,1%,29%,67%,96%,2%
P.S./I.S. 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,40.835694,-73.919663,"1220 GERARD AVE BRONX, NY 10452",BRONX,10452,4%,5%,89%,94%,1%
EAGLE ACADEMY FOR YOUNG MEN,40.845324,-73.897392,"4143 3RD AVE BRONX, NY 10457",BRONX,10457,0%,58%,39%,97%,0%
BRONX DANCE ACADEMY SCHOOL,40.885328,-73.878058,"3617 BAINBRIDGE AVE BRONX, NY 10467",BRONX,10467,2%,21%,77%,97%,1%
P.S. 087 BRONX,40.895363,-73.845825,"1935 BUSSING AVE BRONX, NY 10466",BRONX,10466,6%,71%,16%,87%,1%
P.S. 160 WALT DISNEY,40.864136,-73.82396,"4140 HUTCHNSN RVR PKWY E BRONX, NY 10475",BRONX,10475,2%,60%,33%,93%,2%
P.S. 009 TEUNIS G. BERGEN,40.678584,-73.96634,"80 UNDERHILL AVE BROOKLYN, NY 11238",BROOKLYN,11238,7%,45%,14%,59%,28%
P.S. 257 JOHN F. HYLAN,40.702805,-73.941486,"60 COOK ST BROOKLYN, NY 11206",BROOKLYN,11206,1%,21%,76%,97%,2%
P.S. 189 THE BILINGUAL CENTER,40.665446,-73.925681,"1100 E NEW YORK AVE BROOKLYN, NY 11212",BROOKLYN,11212,2%,72%,25%,97%,0%
P.S. 316 ELIJAH STROUD,40.674551,-73.960867,"750 CLASSON AVE BROOKLYN, NY 11238",BROOKLYN,11238,0%,72%,20%,92%,6%
"SCHOOL FOR HUMAN RIGHTS, THE",40.658665,-73.943838,"600 KINGSTON AVE BROOKLYN, NY 11203",BROOKLYN,11203,1%,87%,10%,97%,0%
NEW HEIGHTS MIDDLE SCHOOL,40.662087,-73.936458,"790 E NEW YORK AVE BROOKLYN, NY 11203",BROOKLYN,11203,1%,82%,11%,93%,0%
P.S. 115 DANIEL MUCATEL SCHOOL,40.634851,-73.897895,"1500 E 92ND ST BROOKLYN, NY 11236",BROOKLYN,11236,3%,85%,8%,92%,3%
P.S. 135 SHELDON A. BROOKNER,40.653258,-73.932975,"684 LINDEN BLVD BROOKLYN, NY 11203",BROOKLYN,11203,1%,88%,7%,95%,2%
P.S. 279 HERMAN SCHREIBER,40.644044,-73.892737,"1070 E 104TH ST BROOKLYN, NY 11236",BROOKLYN,11236,0%,93%,4%,97%,1%
P.S. 177 THE MARLBORO,40.608431,-73.974412,"346 AVE P BROOKLYN, NY 11204",BROOKLYN,11204,25%,1%,33%,34%,39%
P.S. 209 MARGARET MEAD,40.58677,-73.961478,"2609 E 7TH ST BROOKLYN, NY 11235",BROOKLYN,11235,30%,4%,23%,27%,42%
P.S. 238 ANNE SULLIVAN,40.608787,-73.964587,"1633 E 8TH ST BROOKLYN, NY 11223",BROOKLYN,11223,17%,4%,56%,61%,22%
P.S. 269 NOSTRAND,40.637617,-73.947663,"1957 NOSTRAND AVE BROOKLYN, NY 11210",BROOKLYN,11210,2%,84%,11%,95%,2%
P.S./M.S. 200 - THE POMONOK SCHOOL & STAR ACADEMY,40.73106,-73.805449,"70-10 164TH ST FLUSHING, NY 11365",FLUSHING,11365,13%,23%,46%,69%,16%
P.S. 273,40.693524,-73.844578,"88-07 102ND ST RICHMOND HILL, NY 11418",RICHMOND HILL,11418,16%,9%,68%,77%,4%
P.S. Q086,40.709456,-73.803563,"87-41 PARSONS BLVD JAMAICA, NY 11432",JAMAICA,11432,50%,9%,34%,42%,4%
P.S. 001 TOTTENVILLE,40.508835,-74.244025,"58 SUMMIT ST STATEN ISLAND, NY 10307",STATEN ISLAND,10307,1%,2%,16%,18%,80%
P.S. 020 PORT RICHMOND,40.636739,-74.132576,"161 PARK AVE STATEN ISLAND, NY 10302",STATEN ISLAND,10302,1%,13%,79%,91%,6%
"I.S. 349 MATH, SCIENCE & TECH.",40.700818,-73.927587,"35 STARR ST BROOKLYN, NY 11211",BROOKLYN,11211,0%,4%,95%,99%,0%
EXCELLENCE GIRLS CHARTER SCHOOL,40.688119,-73.924441,"794 MONROE ST-3RD FL BROOKLYN, NY 11221",BROOKLYN,11221,2%,84%,11%,95%,1%
IMAGINE ME LEADERSHIP CHARTER SCHOOL,40.660065,-73.883496,"818 SCHENCK AVE BROOKLYN, NY 11207",BROOKLYN,11207,0%,87%,11%,98%,1%
GIRLS PREPARATORY CHARTER SCHOOL OF NEW YORK,40.71987,-73.977376,"442 E HOUSTON ST-RM 312 NEW YORK, NY 10002",NEW YORK,10002,2%,45%,49%,94%,2%
ICAHN CHARTER SCHOOL 6,40.837913,-73.868495,"1776 MANSION ST BRONX, NY 10457",BRONX,10457,0%,58%,40%,98%,1%
P.S. X088 - S. SILVERSTEIN LITTLE SPARROW SCHOOL,40.83702,-73.913549,"1340 SHERIDAN AVE BRONX, NY 10456",BRONX,10456,1%,31%,68%,98%,0%
YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX,40.848521,-73.908447,"1865 MORRIS AVE BRONX, NY 10453",BRONX,10453,2%,39%,58%,97%,1%
P.S. 081 ROBERT J. CHRISTEN,40.903455,-73.904682,"5550 RIVERDALE AVE BRONX, NY 10471",BRONX,10471,8%,10%,49%,59%,30%
P.S. 108 PHILIP J. ABINANTI,40.854535,-73.852919,"1166 NEILL AVE BRONX, NY 10461",BRONX,10461,11%,7%,44%,50%,37%
J.H.S. 127 THE CASTLE HILL,40.838494,-73.853201,"1560 PURDY ST BRONX, NY 10462",BRONX,10462,31%,23%,41%,64%,4%
PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGEMENT,40.86206,-73.864588,"2441 WALLACE AVE BRONX, NY 10467",BRONX,10467,7%,18%,64%,82%,10%
P.S. 061 FRANCISCO OLLER,40.836359,-73.89275,"1550 CROTONA PARK E BRONX, NY 10460",BRONX,10460,0%,22%,76%,99%,0%
P.S. 132 THE CONSELYEA SCHOOL,40.714793,-73.945708,"320 MANHATTAN AVE BROOKLYN, NY 11211",BROOKLYN,11211,7%,16%,42%,58%,33%
BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,40.679432,-74.001943,"610 HENRY ST BROOKLYN, NY 11231",BROOKLYN,11231,3%,40%,45%,85%,10%
P.S. 249 THE CATON,40.649555,-73.966506,"18 MARLBOROUGH RD BROOKLYN, NY 11226",BROOKLYN,11226,6%,39%,50%,89%,4%
ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,40.649588,-73.957176,"911 FLATBUSH AVE BROOKLYN, NY 11226",BROOKLYN,11226,1%,81%,15%,96%,1%
P.S. 197 - THE KINGS HIGHWAY ACADEMY,40.612571,-73.951555,"1599 E 22ND ST BROOKLYN, NY 11210",BROOKLYN,11210,9%,12%,17%,29%,59%
P.S. 203 FLOYD BENNETT SCHOOL,40.621911,-73.925723,"5101 AVE M BROOKLYN, NY 11234",BROOKLYN,11234,5%,79%,9%,89%,3%
J.H.S. 278 MARINE PARK,40.60667,-73.938716,"1925 STUART ST BROOKLYN, NY 11229",BROOKLYN,11229,9%,47%,16%,63%,27%
P.S. 056 HARRY EICHLER,40.699106,-73.835471,"86-10 114TH ST RICHMOND HILL, NY 11418",RICHMOND HILL,11418,37%,4%,43%,47%,11%
P.S. 096,40.675357,-73.808131,"130-01 ROCKAWAY BLVD SOUTH OZONE PARK, NY 11420",SOUTH OZONE PARK,11420,49%,24%,14%,38%,2%
WATERSIDE CHILDREN'S STUDIO SCHOOL,40.579602,-73.831079,"1-90 BEACH 110TH ST ROCKAWAY PARK, NY 11694",ROCKAWAY PARK,11694,4%,24%,46%,70%,22%
P.S. 082 HAMMOND,40.704103,-73.811784,"88-02 144TH ST JAMAICA, NY 11435",JAMAICA,11435,27%,6%,64%,70%,2%
P.S. 038 ROSEDALE,40.671631,-73.733976,"135-21 241ST ST ROSEDALE, NY 11422",ROSEDALE,11422,1%,89%,6%,96%,2%
THE BELLAIRE SCHOOL,40.72012,-73.757425,"207-11 89TH AVE QUEENS VILLAGE, NY 11427",QUEENS VILLAGE,11427,37%,29%,19%,49%,3%
P.S. 084 STEINWAY,40.771182,-73.906108,"22-45 41ST ST ASTORIA, NY 11105",ASTORIA,11105,9%,7%,39%,46%,43%
P.S. 052 JOHN C. THOMPSON,40.582437,-74.088696,"450 BUEL AVE STATEN ISLAND, NY 10305",STATEN ISLAND,10305,10%,1%,20%,21%,68%
I.S. 072 ROCCO LAURIE,40.59247,-74.158532,"33 FERNDALE AVE STATEN ISLAND, NY 10314",STATEN ISLAND,10314,20%,5%,24%,29%,50%
STATEN ISLAND SCHOOL OF CIVIC LEADERSHIP,40.620326,-74.164432,"280 REGIS DR STATEN ISLAND, NY 10314",STATEN ISLAND,10314,12%,21%,41%,63%,23%
P.S. 123 SUYDAM,40.703905,-73.922574,"100 IRVING AVE BROOKLYN, NY 11237",BROOKLYN,11237,4%,3%,90%,94%,1%
EXPLORE EMPOWER CHARTER SCHOOL,40.672706,-73.92893,"188 ROCHESTER AVE BROOKLYN, NY 11213",BROOKLYN,11213,1%,89%,8%,97%,1%
MANHATTAN CHARTER SCHOOL,40.71823,-73.984082,"100 ATTORNEY ST NEW YORK, NY 10002",NEW YORK,10002,3%,20%,71%,90%,3%
DEMOCRACY PREP HARLEM CHARTER SCHOOL,40.814412,-73.945122,"207 W 133RD ST NEW YORK, NY 10030",NEW YORK,10030,1%,64%,33%,97%,1%
CHALLENGE PREPARATORY CHARTER SCHOOL,40.600208,-73.763868,"710 HARTMAN LANE FAR ROCKAWAY, NY 11691",FAR ROCKAWAY,11691,2%,80%,14%,94%,3%
YORKVILLE COMMUNITY SCHOOL,40.777924,-73.947316,"421 E 88TH ST NEW YORK, NY 10128",NEW YORK,10128,7%,14%,27%,41%,47%
YOUNG WOMEN'S LEADERSHIP SCHOOL,40.792935,-73.947168,"105 E 106TH ST NEW YORK, NY 10029",NEW YORK,10029,9%,25%,60%,85%,4%
P.S. 048 P.O. MICHAEL J. BUCZEK,40.853324,-73.933497,"4360-78 BROADWAY NEW YORK, NY 10033",NEW YORK,10033,1%,1%,96%,97%,2%
THE MOTT HALL SCHOOL,40.816172,-73.952104,"71-111 CONVENT AVE NEW YORK, NY 10027",NEW YORK,10027,1%,9%,84%,93%,4%
P.S. X015 INSTITUTE FOR ENVIRONMENTAL LEARNING,40.859165,-73.909733,"2195 ANDREWS AVE BRONX, NY 10453",BRONX,10453,1%,13%,85%,98%,0%
LUISA PINEIRO FUENTES SCHOOL OF SCIENCE AND DISCOVERY,40.869145,-73.901836,"124 EAMES PL BRONX, NY 10468",BRONX,10468,8%,8%,82%,91%,1%
P.S./M.S. 194,40.835236,-73.846547,"2365 WATERBURY AVE BRONX, NY 10462",BRONX,10462,33%,8%,53%,61%,4%
P.S. 011 PURVIS J. BEHAN,40.685623,-73.965851,"419 WAVERLY AVE BROOKLYN, NY 11238",BROOKLYN,11238,3%,68%,11%,79%,12%
P.S. 133 WILLIAM A. BUTLER,40.680088,-73.980577,"610 BALTIC ST BROOKLYN, NY 11217",BROOKLYN,11217,3%,27%,32%,59%,31%
CONSELYEA PREPARATORY SCHOOL,40.715274,-73.957057,"208 N 5TH ST BROOKLYN, NY 11211",BROOKLYN,11211,3%,3%,59%,62%,35%
PARKSIDE PREPARATORY ACADEMY,40.656389,-73.951462,"655 PARKSIDE AVE BROOKLYN, NY 11226",BROOKLYN,11226,3%,81%,13%,93%,2%
SCHOOL OF THE FUTURE BROOKLYN,40.665557,-73.897641,"574 DUMONT AVE BROOKLYN, NY 11207",BROOKLYN,11207,2%,64%,33%,97%,1%
P.S. 192 - THE MAGNET SCHOOL FOR MATH AND SCIENCE INQUIRY,40.628989,-73.979862,"4715 18TH AVE BROOKLYN, NY 11204",BROOKLYN,11204,20%,2%,52%,53%,26%
I.S. 228 DAVID A. BOODY,40.600816,-73.976838,"228 AVE S BROOKLYN, NY 11223",BROOKLYN,11223,29%,8%,26%,34%,36%
BROOKLYN STUDIO SECONDARY SCHOOL,40.604847,-73.994746,"8310 21ST AVE BROOKLYN, NY 11214",BROOKLYN,11214,18%,3%,29%,33%,49%
P.S. 139 ALEXINE A. FENTY,40.641322,-73.965829,"330 RUGBY RD BROOKLYN, NY 11226",BROOKLYN,11226,17%,31%,39%,70%,9%
KAPPA V (KNOWLEDGE AND POWER PREPARATORY ACADEMY),40.655763,-73.906685,"985 ROCKAWAY AVE BROOKLYN, NY 11212",BROOKLYN,11212,1%,90%,8%,97%,1%
I.S. 093 RIDGEWOOD,40.705855,-73.902827,"66-56 FOREST AVE RIDGEWOOD, NY 11385",RIDGEWOOD,11385,10%,1%,71%,72%,17%
P.S. 029 QUEENS,40.777987,-73.842975,"125-10 23RD AVE COLLEGE POINT, NY 11356",COLLEGE POINT,11356,29%,2%,57%,59%,12%
P.S. 129 PATRICIA LARKIN,40.789929,-73.839501,"128-02 7TH AVE COLLEGE POINT, NY 11356",COLLEGE POINT,11356,31%,2%,51%,52%,15%
P.S. 090 HORACE MANN,40.696715,-73.839267,"86-50 109TH ST RICHMOND HILL, NY 11418",RICHMOND HILL,11418,35%,7%,52%,58%,5%
P.S. 161 ARTHUR ASHE SCHOOL,40.690426,-73.821065,"101-33 124TH ST JAMAICA, NY 11419",JAMAICA,11419,62%,7%,18%,24%,2%
P.S. 033 EDWARD M. FUNK,40.727164,-73.73409,"91-37 222ND ST QUEENS VILLAGE, NY 11428",QUEENS VILLAGE,11428,46%,17%,26%,43%,4%
P.S. 034 JOHN HARVARD,40.71089,-73.737967,"104-12 SPRINGFIELD BLVD QUEENS VILLAGE, NY 11428",QUEENS VILLAGE,11428,8%,74%,16%,89%,1%
JEAN NUZZI INTERMEDIATE SCHOOL,40.720412,-73.746572,"213-10 92ND AVE QUEENS VILLAGE, NY 11428",QUEENS VILLAGE,11428,33%,40%,21%,61%,4%
P.S. 132 RALPH BUNCHE,40.681992,-73.749505,"132-15 218TH ST SPRINGFIELD GARDENS, NY 11413",SPRINGFIELD GARDENS,11413,1%,93%,4%,97%,1%
P.S./I.S. 268,40.707652,-73.785219,"92-07 175TH ST JAMAICA, NY 11433",JAMAICA,11433,27%,34%,27%,61%,2%
P.S. 002 ALFRED ZIMBERG,40.7697,-73.89414,"75-10 21ST AVE JACKSON HEIGHTS, NY 11372",JACKSON HEIGHTS,11372,21%,2%,37%,39%,39%
P.S. 038 GEORGE CROMWELL,40.574938,-74.099425,"421 LINCOLN AVE STATEN ISLAND, NY 10306",STATEN ISLAND,10306,8%,2%,33%,36%,55%
P.S. 054 CHARLES W. LENG,40.602779,-74.137628,"1060 WILLOWBROOK RD STATEN ISLAND, NY 10314",STATEN ISLAND,10314,32%,6%,24%,30%,36%
SPACE SHUTTLE COLUMBIA SCHOOL,40.583066,-74.160687,"77 MARSH AVE STATEN ISLAND, NY 10314",STATEN ISLAND,10314,14%,6%,25%,31%,53%
P.S. 086 THE IRVINGTON,40.700748,-73.91766,"220 IRVING AVE BROOKLYN, NY 11237",BROOKLYN,11237,4%,1%,94%,95%,1%
EXPLORE EXCEED CHARTER SCHOOL,40.677036,-73.960074,"443 ST MARKS AVE-RM 114 BROOKLYN, NY 11238",BROOKLYN,11238,3%,78%,16%,94%,0%
KIPP AMP CHARTER SCHOOL,40.672272,-73.937164,"1224 PARK PL-4TH FL BROOKLYN, NY 11213",BROOKLYN,11213,1%,87%,9%,96%,1%
COMMUNITY PARTNERSHIP CHARTER SCHOOL,40.689626,-73.961094,"241 EMERSON PL BROOKLYN, NY 11205",BROOKLYN,11205,0%,80%,15%,95%,1%
LEADERSHIP PREPARATORY OCEAN HILL CHARTER SCHOOL,40.672333,-73.906225,"51 CHRISTOPHER AVE BROOKLYN, NY 11212",BROOKLYN,11212,0%,84%,13%,96%,1%
DREAM CHARTER SCHOOL,40.788341,-73.944095,"1991 2ND AVE NEW YORK, NY 10029",NEW YORK,10029,1%,32%,65%,97%,1%
PENINSULA PREPARATORY ACADEMY CHARTER SCHOOL,40.600739,-73.752014,"611 BEACH 19TH ST FAR ROCKAWAY, NY 11691",FAR ROCKAWAY,11691,3%,68%,23%,92%,4%
EARTH SCHOOL,40.723747,-73.981602,"600 E 6TH ST NEW YORK, NY 10009",NEW YORK,10009,7%,13%,35%,48%,37%
P.S. 051 ELIAS HOWE,40.761593,-73.99559,"525 W 44TH ST NEW YORK, NY 10036",NEW YORK,10036,24%,12%,42%,55%,20%
COMMUNITY ACTION SCHOOL - MS 258,40.791685,-73.97077,"154 W 93RD ST NEW YORK, NY 10025",NEW YORK,10025,2%,45%,43%,87%,11%
GLOBAL TECHNOLOGY PREPARATORY,40.800631,-73.939323,"160 E 120TH ST NEW YORK, NY 10035",NEW YORK,10035,3%,40%,56%,97%,1%
M.S. 324 - PATRIA MIRABAL,40.839408,-73.935772,"21 JUMEL PL NEW YORK, NY 10032",NEW YORK,10032,2%,11%,85%,95%,3%
M.S. X101 EDWARD R. BYRNE,40.827214,-73.829212,"2750 LAFAYETTE AVE BRONX, NY 10465",BRONX,10465,14%,10%,56%,66%,20%
P.S. 153 HELEN KELLER,40.873045,-73.833345,"650 BAYCHESTER AVE BRONX, NY 10475",BRONX,10475,9%,58%,25%,84%,5%
P.S. 178 - DR. SELMAN WAKSMAN,40.875146,-73.833095,"850 BAYCHESTER AVE BRONX, NY 10475",BRONX,10475,2%,64%,27%,91%,4%
P.S. 034 OLIVER H. PERRY,40.726392,-73.94984,"131 NORMAN AVE BROOKLYN, NY 11222",BROOKLYN,11222,4%,4%,19%,23%,73%
P.S. 032 SAMUEL MILLS SPROLE,40.680431,-73.991704,"317 HOYT ST BROOKLYN, NY 11231",BROOKLYN,11231,8%,22%,26%,48%,41%
P.S. 124 SILAS B. DUTCHER,40.667492,-73.990697,"515 4TH AVE BROOKLYN, NY 11215",BROOKLYN,11215,22%,6%,51%,57%,18%
P.S. 261 PHILIP LIVINGSTON,40.687121,-73.988365,"314 PACIFIC ST BROOKLYN, NY 11201",BROOKLYN,11201,5%,29%,22%,51%,39%
P.S. 200 BENSON SCHOOL,40.602902,-74.001826,"1940 BENSON AVE BROOKLYN, NY 11214",BROOKLYN,11214,34%,1%,21%,22%,43%
P.S. 153 HOMECREST,40.601174,-73.960031,"1970 HOMECREST AVE BROOKLYN, NY 11229",BROOKLYN,11229,26%,2%,33%,36%,34%
P.S. 199 FREDERICK WACHTEL,40.616567,-73.963134,"1100 ELM AVE BROOKLYN, NY 11230",BROOKLYN,11230,21%,4%,27%,31%,48%
P.S. 193 GIL HODGES,40.621852,-73.950283,"2515 AVE L BROOKLYN, NY 11210",BROOKLYN,11210,17%,47%,14%,61%,18%
P.S. 217 COLONEL DAVID MARCUS SCHOOL,40.633626,-73.966273,"1100 NEWKIRK AVE BROOKLYN, NY 11230",BROOKLYN,11230,49%,11%,19%,30%,19%
ANDRIES HUDDE,40.623798,-73.946824,"2500 NOSTRAND AVE BROOKLYN, NY 11210",BROOKLYN,11210,18%,63%,12%,74%,7%
P.S. 143 LOUIS ARMSTRONG,40.755182,-73.855476,"34-74 113TH ST CORONA, NY 11368",CORONA,11368,5%,2%,93%,94%,1%
P. S. 62 - CHESTER PARK SCHOOL,40.688366,-73.835594,"97-25 108TH ST SOUTH RICHMOND HILL, NY 11419",SOUTH RICHMOND HILL,11419,62%,3%,27%,30%,2%
P.S. 100 GLEN MORRIS,40.672256,-73.821316,"111-11 118TH ST SOUTH OZONE PARK, NY 11420",SOUTH OZONE PARK,11420,49%,8%,17%,26%,3%
NEW YORK CITY ACADEMY FOR DISCOVERY,40.69146,-73.848566,"95-16 89TH AVE WOODHAVEN, NY 11421",WOODHAVEN,11421,16%,5%,69%,74%,4%
I.S. 010 HORACE GREELEY,40.759518,-73.912499,"45-11 31ST AVE LONG ISLAND CITY, NY 11103",LONG ISLAND CITY,11103,23%,6%,52%,58%,18%
I.S. 007 ELIAS BERNSTEIN,40.52409,-74.186183,"1270 HUGUENOT AVE STATEN ISLAND, NY 10312",STATEN ISLAND,10312,4%,1%,7%,7%,88%
I.S. 024 MYRA S. BARNES,40.545793,-74.145561,"225 CLEVELAND AVE STATEN ISLAND, NY 10308",STATEN ISLAND,10308,3%,1%,12%,13%,83%
THE STEPHANIE A. VIERNO SCHOOL,40.573922,-74.10908,"216 CLAWSON ST STATEN ISLAND, NY 10306",STATEN ISLAND,10306,7%,3%,29%,32%,57%
BROOKLYN DREAMS CHARTER SCHOOL,40.632144,-73.969817,"259 PARKVILLE AVE BROOKLYN, NY 11230",BROOKLYN,11230,21%,59%,16%,75%,3%
GREAT OAKS CHARTER SCHOOL,40.719935,-73.991656,"38 DELANCEY ST-3RD FL NEW YORK, NY 10002",NEW YORK,10002,22%,24%,52%,75%,2%
HARLEM LINK CHARTER SCHOOL,40.798495,-73.949849,"20 W 112TH ST-RM 357 NEW YORK, NY 10026",NEW YORK,10026,0%,59%,36%,95%,4%
DEMOCRACY PREP CHARTER SCHOOL,40.814949,-73.945808,"222 W 134TH ST NEW YORK, NY 10030",NEW YORK,10030,1%,67%,29%,97%,1%
AMBER CHARTER SCHOOL,40.790929,-73.943909,"220 E 106TH ST NEW YORK, NY 10029",NEW YORK,10029,1%,34%,64%,98%,1%
JOHN W. LAVELLE PREPARATORY CHARTER SCHOOL,40.605428,-74.179723,"1 CORPORATE COMMONS-1 TELEPORT DR STATEN ISLAND, NY 10311",STATEN ISLAND,10311,5%,40%,38%,78%,15%
GRAND CONCOURSE CHARTER SCHOOL,40.825693,-73.838405,"925 HUTCHINSON PARKWAY BRONX, NY 10465",BRONX,10465,3%,40%,54%,94%,2%
P.S. 116 MARY LINDLEY MURRAY,40.744425,-73.977634,"210 E 33RD ST NEW YORK, NY 10016",NEW YORK,10016,20%,9%,22%,30%,44%
P.S. 084 LILLIAN WEBER,40.789382,-73.9681,"32 W 92ND ST NEW YORK, NY 10025",NEW YORK,10025,3%,13%,42%,55%,38%
CENTRAL PARK EAST I,40.793747,-73.948572,"1573 MADISON AVE NEW YORK, NY 10029",NEW YORK,10029,9%,20%,29%,49%,28%
P.S. 132 JUAN PABLO DUARTE,40.850543,-73.933933,"185 WADSWORTH AVE NEW YORK, NY 10033",NEW YORK,10033,0%,1%,98%,99%,1%
I.S. 528 BEA FULLER RODGERS SCHOOL,40.850676,-73.934697,"180 WADSWORTH AVE NEW YORK, NY 10033",NEW YORK,10033,1%,2%,97%,99%,0%
"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",40.827572,-73.918927,"244 E 163RD ST BRONX, NY 10451",BRONX,10451,1%,24%,71%,96%,1%
I.S. 318 EUGENIO MARIA DE HOSTOS,40.703215,-73.948503,"101 WALTON ST BROOKLYN, NY 11206",BROOKLYN,11206,7%,18%,62%,80%,13%
FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL,40.646745,-73.881849,"1400 PENNSYLVANIA AVE BROOKLYN, NY 11239",BROOKLYN,11239,5%,72%,23%,95%,0%
P.S. 048 MAPLETON,40.621555,-73.987279,"6015 18TH AVE BROOKLYN, NY 11204",BROOKLYN,11204,47%,1%,28%,28%,22%
P.S. 100 THE CONEY ISLAND SCHOOL,40.577556,-73.970791,"2951 W 3RD ST BROOKLYN, NY 11229",BROOKLYN,11229,4%,4%,6%,10%,85%
P.S. 121 NELSON A. ROCKEFELLER,40.622876,-73.978774,"5301 20TH AVE BROOKLYN, NY 11204",BROOKLYN,11204,18%,3%,42%,45%,35%
P.S. 216 ARTURO TOSCANINI,40.590181,-73.969661,"350 AVE X BROOKLYN, NY 11223",BROOKLYN,11223,24%,5%,18%,23%,52%
P.S. 253,40.580084,-73.961946,"601 OCEANVIEW AVE BROOKLYN, NY 11235",BROOKLYN,11235,38%,0%,41%,41%,20%
P.S. 195 MANHATTAN BEACH,40.580244,-73.943592,"131 IRWIN ST BROOKLYN, NY 11235",BROOKLYN,11235,3%,3%,2%,5%,92%
I.S. 061 LEONARDO DA VINCI,40.742087,-73.862808,"98-50 50TH AVE CORONA, NY 11368",CORONA,11368,6%,3%,89%,92%,1%
P.S. 153 MASPETH ELEM,40.716288,-73.904467,"60-02 60TH LN MASPETH, NY 11378",MASPETH,11378,7%,1%,45%,46%,46%
P.S. 130,40.760072,-73.783908,"200-01 42ND AVE BAYSIDE, NY 11361",BAYSIDE,11361,53%,3%,18%,21%,23%
P.S. 165 EDITH K. BERGTRAUM,40.729597,-73.817716,"70-35 150TH ST FLUSHING, NY 11367",FLUSHING,11367,55%,12%,19%,31%,12%
P.S. 047 CHRIS GALAS,40.606725,-73.820179,"9 POWER RD BROAD CHANNEL, NY 11693",BROAD CHANNEL,11693,0%,2%,15%,17%,83%
P.S. 064 JOSEPH P. ADDABBO,40.681153,-73.857012,"82-01 101ST AVE OZONE PARK, NY 11416",OZONE PARK,11416,56%,4%,35%,40%,2%
P.S. 066 JACQUELINE KENNEDY ONASSIS,40.697913,-73.84631,"85-11 102ND ST RICHMOND HILL, NY 11418",RICHMOND HILL,11418,18%,5%,65%,69%,8%
P.S. 108 CAPTAIN VINCENT G. FOWLER,40.67922,-73.83106,"108-10 109TH AVE SOUTH OZONE PARK, NY 11420",SOUTH OZONE PARK,11420,47%,7%,41%,47%,4%
P.S. 124 OSMOND A CHURCH,40.665478,-73.811093,"129-15 150TH AVE SOUTH OZONE PARK, NY 11420",SOUTH OZONE PARK,11420,49%,22%,22%,44%,2%
P.S. 155,40.679531,-73.810685,"130-02 115TH AVE SOUTH OZONE PARK, NY 11420",SOUTH OZONE PARK,11420,33%,26%,19%,45%,2%
J.H.S. 202 ROBERT H. GODDARD,40.670886,-73.845674,"138-30 LAFAYETTE ST OZONE PARK, NY 11417",OZONE PARK,11417,34%,7%,48%,55%,8%
P.S. 232 LINDENWOOD,40.66585,-73.851027,"153-23 83RD ST HOWARD BEACH, NY 11414",HOWARD BEACH,11414,11%,9%,41%,50%,37%
P.S. 254 - THE ROSA PARKS SCHOOL,40.697177,-73.847866,"84-40 101ST ST RICHMOND HILL, NY 11418",RICHMOND HILL,11418,12%,5%,75%,80%,6%
CHANNEL VIEW SCHOOL FOR RESEARCH,40.586666,-73.823435,"100-00 BEACH CHANNEL DR ROCKAWAY PARK, NY 11694",ROCKAWAY PARK,11694,7%,49%,28%,78%,13%
P.S. 206 THE HORACE HARDING SCHOOL,40.734734,-73.860797,"61-02 98TH ST REGO PARK, NY 11374",REGO PARK,11374,18%,18%,30%,48%,31%
I.S. 192 THE LINDEN,40.706768,-73.753793,"109-89 204TH ST SAINT ALBANS, NY 11412",SAINT ALBANS,11412,3%,86%,8%,95%,1%
HUNTERS POINT COMMUNITY MIDDLE SCHOOL,40.74308,-73.959251,"1-50 51ST AVE LONG ISLAND CITY, NY 11101",LONG ISLAND CITY,11101,16%,13%,51%,63%,18%
P.S. 004 MAURICE WOLLIN,40.552373,-74.195516,"200 NEDRA LANE STATEN ISLAND, NY 10312",STATEN ISLAND,10312,5%,2%,18%,21%,72%
P.S. 030 WESTERLEIGH,40.618028,-74.133161,"200 WARDWELL AVE STATEN ISLAND, NY 10314",STATEN ISLAND,10314,6%,2%,23%,25%,66%
P.S. 35 THE CLOVE VALLEY SCHOOL,40.613578,-74.098959,"60 FOOTE AVE STATEN ISLAND, NY 10301",STATEN ISLAND,10301,6%,9%,24%,32%,57%
BEGINNING WITH CHILDREN CHARTER SCHOOL II,40.703878,-73.953472,"215 HEYWARD ST BROOKLYN, NY 11206",BROOKLYN,11206,2%,31%,65%,96%,1%
